Q50812496	0068-3175
Q50807257	0128-2972
Q50432750	0717-6295
Q50478588	0718-0012
Q50478592	0718-2228
Q50481560	0718-2279
Q50478586	0718-3607
Q50481557	0718-4662
Q50478567	0718-4735
Q50481555	0718-5014
Q50478577	0718-5162
Q50478575	0718-6924
Q50478573	0718-8307
Q50478607	0718-8471
Q50478572	0718-9613
Q50478564	0719-0832
Q50478601	0719-1529
Q50481541	0719-1790
Q50478566	0719-1855
Q50481535	0719-2479
Q50478609	0719-2789
Q50478597	0719-3262
Q50481534	0719-3688
Q50478617	0719-3769
Q50478741	0719-4242
Q50478570	0719-448X
Q50478582	0719-4692
Q50478579	0719-4749
Q50478743	0719-4862
Q50478614	0719-5249
Q50481539	0719-5370
Q27988671	0719-5427
Q50478613	0719-5443
Q50478740	0719-5532
Q50478738	0719-6245
Q50478590	0719-6318
Q50478605	0719-6466
Q50481537	0719-689X
Q50481538	0719-7969
Q50478599	0719-8027
Q28458037	0973-3701
Q50497603	0975-1025
Q50497575	0976-5050
Q50497572	0976-9102
Q50812155	1138-1590
Q50498018	1212-7817
Q50498023	1213-8312
Q50515321	1304-7205
Q50515350	1304-9399
Q50515313	1305-1385
Q50515306	1305-905X
Q50515304	1306-3553
Q50498091	1308-0911
Q50534415	1308-1470
Q50515293	1308-5255
Q50515346	1308-6979
Q50498126	1308-7517
Q50515274	1308-7584
Q50498133	1308-9889
Q50515352	1309-0275
Q50515271	1309-2014
Q50515287	1309-5137
Q50515255	1309-6621
Q50515245	1312-451X
Q50515249	1313-3551
Q50515248	1313-9118
Q50515237	1313-9940
Q50515236	1314-0256
Q50515234	1314-2321
Q50515231	1314-3344
Q50515240	1314-412X
Q50515224	1314-6246
Q50434960	1333-9095
Q16909033	1334-4676
Q50515378	1336-6556
Q50515412	1336-9245
Q50515406	1338-3957
Q50515392	1338-4309
Q50515416	1338-6174
Q50515397	1338-7278
Q50515414	1338-984X
Q50515382	1339-4010
Q50515379	1339-4584
Q50498066	1390-3306
Q50515570	1390-4043
Q50515366	1390-4299
Q50515539	1390-7697
Q50515566	1390-776X
Q50515561	1390-8103
Q50515535	1390-8448
Q50515363	1390-8596
Q50515558	1390-860X
Q50515559	1390-8618
Q50515575	1390-8626
Q50515576	1390-8634
Q50515368	1390-8642
Q50515534	1390-9134
Q50515372	1390-924X
Q50515544	1390-9274
Q50515533	1390-9355
Q50515543	1390-9967
Q50515486	1406-5509
Q50810884	1409-469X
Q50668274	1413-2311
Q50516799	1424-4020
Q50811237	1429-9623
Q25464680	1452-8185
Q50419850	1504-288X
Q50811482	1517-4549
Q50426423	1517-7017
Q50518217	1549-4497
Q50518209	1556-1550
Q7318482	1561-2945
Q50497427	1561-2953
Q50432719	1561-2988
Q50497435	1561-3038
Q50497433	1561-3070
Q50807139	1561-8927
Q50515375	1568-5551
Q50518129	1576-3420
Q50497894	1578-164X
Q50534407	1578-9705
Q50515459	1581-0224
Q50478462	1581-162X
Q50518102	1581-6974
Q50426230	1581-7903
Q50478471	1581-968X
Q50518098	1582-3725
Q50498000	1582-5450
Q27716432	1591-0725
Q50518200	1605-6582
Q50497426	1606-4925
Q50520739	1608-5078
Q50520735	1618-5293
Q50497404	1647-2144
Q50497406	1647-662X
Q50520877	1647-7316
Q50497412	1647-7723
Q50434874	1648-1143
Q50521551	1658-6794
Q50521503	1659-2069
Q50434876	1659-2913
Q50515708	1659-3286
Q50521539	1659-3316
Q50521492	1659-407X
Q50521496	1659-441X
Q50515478	1659-4436
Q50521547	1659-4940
Q50521491	1661-6146
Q50516802	1662-629X
Q50521484	1663-9391
Q15749678	1666-6038
Q50516902	1666-9479
