1895 Mille huit cent quatre-vingt-quinze	OpenEdition	1960-6176,0769-0959	0769-0959	2810781
3 Biotech	Springer-Verlag	2190-5738,2190-572X	2190-5738	27723811
3L The Southeast Asian Journal of English Language Studies	Penerbit Universiti Kebangsaan Malaysia (UKM Press)	2550-2247,0128-5157	0128-5157	50434739
4OR	Springer-Verlag	1614-2411,1619-4500	1619-4500	15760724
A Cor das Letras	Universidade Estadual de Feira de Santana	2594-9675,1415-8973	1415-8973	50516551
A Current Bibliography on African Affairs	SAGE Publications	2376-6662,0011-3255	0011-3255	27715791
AADE in Practice	SAGE Publications	2325-5161,2325-1603	2325-1603	27727539
AATCC Review	American Association of Textile Chemists and Colorists - AATCC	2330-5525,1532-8813	1532-8813	27723828
ABCD Arquivos Brasileiros de Cirurgia Digestiva (So Paulo)	SciELO	2317-6326,0102-6720	0102-6720	26853858
ABI-Technik	Walter de Gruyter GmbH	2191-4664,0720-6763	0720-6763	287322
Academic Collaborations for Sick Children	Japan Academic Collaborations Medical Society	1884-5002,1884-426X	1884-426X	11189959
Accounting and Business Research	Informa UK (Taylor & Francis)	2159-4260,0001-4788	0001-4788	15752038
Accounting Historians Journal	American Accounting Association	2327-4468,0148-4184	0148-4184	15760379
Accreditation and Quality Assurance	Springer-Verlag	1432-0517,0949-1775	0949-1775	15753197
Acoustical Physics	Pleiades Publishing	1562-6865,1063-7710	1063-7710	5153419
Acoustics Today	Acoustical Society of America	1557-0223,1557-0215	1557-0215	23928679
Acta Academiae Medicinae Wuhan	Springer-Verlag	1993-1352,0510-9752	1993-1352	15711092
Acta Agronomica Hungarica	Akademiai Kiado Zrt.	1588-2527,0238-0161	0238-0161	15757569
Acta Anatomica	S. Karger AG	1421-9654,0001-5180	0001-5180	27708678
Acta Angiologica	VM Media Sp zo.o. - VMGroup SK	1644-3276,1234-950X	1234-950X	9138965
Acta Baltico-Slavica	Institute of Slavic Studies of the Polish Academy of Sciences	2392-2389,0065-1044	0065-1044	12646949
Acta Biolgica Paranaense	Universidade Federal do Parana	2236-1472,0301-2123	0301-2123	21386225
Acta Botanica Gallica	Informa UK (Taylor & Francis)	2166-3408,1253-8078	1253-8078	14637502
Acta Botanica Hungarica	Akademiai Kiado Zrt.	1588-2578,0236-6495	0236-6495	5656870
Acta Botanica Mexicana	Instituto de Ecologia, A.C.	2448-7589,0187-7151	0187-7151	5656877
Acta chirurgica iugoslavica	National Library of Serbia	2406-0887,0354-950X	0354-950X	15759216
Acta Chromatographica	Akademiai Kiado Zrt.	2083-5736,1233-2356	1233-2356	9138970
Acta Clinica Belgica	Informa UK (Taylor & Francis)	2295-3337,1784-3286	1784-3286	15757609
Acta et Commentationes Universitatis Tartuensis de Mathematica	University of Tartu Press	2228-4699,1406-2283	1406-2283	15754278
Acta Geodaetica et Geophysica Hungarica	Akademiai Kiado Zrt.	1587-1037,1217-8977	1217-8977	15746116
Acta Geophysica	Springer-Verlag	1895-7455,1895-6572	1895-6572	15760351
Acta Horticulturae	International Society for Horticultural Science (ISHS)	2406-6168,0567-7572	0567-7572	15756227
Acta hydrochimica et hydrobiologica	Wiley Blackwell (John Wiley & Sons)	1521-401X,0323-4320	0323-4320	15760259
Acta Kinesiologiae Universitatis Tartuensis	University of Tartu Press	2228-3501,1406-9822	1406-9822	15750814
Acta Limnologica Brasiliensia	SciELO	2179-975X,0102-6712	2179-975X	50815813
Acta Linguistica Hafniensia	Informa UK (Taylor & Francis)	1949-0763,0374-0463	0374-0463	15760504
Acta Mathematica Vietnamica	Springer-Verlag	2315-4144,0251-4184	0251-4184	15759999
Acta Medica (Hradec Kralove Czech Republic)	Charles University in Prague, Karolinum Press	1805-9694,1211-4286	1211-4286	15760493
Acta Medica Academica	Academy of Sciences and Arts of Bosnia anad Herzegovina	1840-2879,1840-1848	1840-1848	26853864
Acta Medica Austriaca	Wiley Blackwell (Blackwell Publishing)	1563-2571,0303-8173	0303-8173	15759796
Acta Metallurgica Sinica (English Letters)	Springer-Verlag	2194-1289,1006-7191	1006-7191	15750013
Acta Meteorologica Sinica	Springer-Verlag	2191-4788,0894-0525	0894-0525	15765282
Acta Musei Nationalis Pragae Series B Historia Naturalis / Sbornk Nrodnho muzea ada B prodn vdy	National Museum	1804-6479,0036-5343	0036-5343	15751721
Acta Mycologica	Polish Botanical Society	2353-074X,0001-625X	0001-625X	27724065
Acta Neurologica Belgica	Springer-Verlag	2240-2993,0300-9009	0300-9009	15749693
Acta Neuropsychologica	Index Copernicus International	2084-4298,1730-7503	1730-7503	15759916
Acta Oceanologica Sinica	Springer-Verlag	1869-1099,0253-505X	0253-505X	15750986
Acta Oeconomica	Akademiai Kiado Zrt.	1588-2659,0001-6373	0001-6373	15752527
Acta Ophthalmologica Scandinavica	Wiley Blackwell (Blackwell Publishing)	1600-0420,1395-3907	1395-3907	15716498
Acta Ornithologica	Museum and Institute of Zoology at the Polish Academy of Sciences	1734-8471,0001-6454	0001-6454	2823536
Acta Oto-Laryngologica	Informa UK (Taylor & Francis)	1651-2251,0001-6489	0001-6489	2492352
Acta periodica technologica	National Library of Serbia	2406-095X,1450-7188	1450-7188	15764485
Acta Physica Hungarica A) Heavy Ion Physics	Springer - RILEM Publishing	1588-2682,1219-7580	1219-7580	15751152
Acta Physica Hungarica B) Quantum Electronics	Springer - RILEM Publishing	1786-3767,1589-9535	1589-9535	2471672
Acta Physica Slovaca Reviews and Tutorials	De Gruyter Open Sp. z o.o.	1336-040X,0323-0465	0323-0465	2380391
Acta Physiologica Hungarica	Akademiai Kiado Zrt.	1588-2682,0231-424X	0231-424X	15767155
Acta Physiologica Scandinavica	Wiley Blackwell (Blackwell Publishing)	1365-201X,0001-6772	0001-6772	2662816
Acta Potica	Instituto de Investigaciones Filologicas	2448-735X,0185-3082	0185-3082	50434858
Acta Polytechnica	Czech Technical University in Prague - Central Library	1805-2363,1210-2709	1210-2709	15754838
Acta Scientiarum Biological Sciences	Universidade Estadual de Maringa	1807-863X,1679-9283	1679-9283	15757532
Acta Scientiarum Health Sciences	Universidade Estadual de Maringa	1807-8648,1679-9291	1679-9291	15757533
ACTA SCIENTIARUM POLONORUM - Architectura Budownictwo	Warsaw University of Life Sciences  SGGW Press	2544-1760,1644-0633	1644-0633	15754835
Acta Scientiarum Polonorum Silvarum Colendarum Ratio et Industria Lignaria	Uniwersytet Przyrodniczy w Poznaniu (Poznan University of Life Sciences)	2450-7997,1644-0722	1644-0722	15767597
Acta Scientiarum Polonorum Technologia Alimentaria	Uniwersytet Przyrodniczy w Poznaniu (Poznan University of Life Sciences)	1898-9594,1644-0730	1644-0730	15766707
Acta Seismologica Sinica	Springer-Verlag	1993-1344,1000-9116	error	
Acta Structilia	AFRICAN SUN MeDIA	2415-0487,1023-0564	1023-0564	15754456
Acta Technologica Agriculturae	De Gruyter Open Sp. z o.o.	1338-5267,1335-2555	1338-5267	50814408
Acta Theologica	AFRICAN SUN MeDIA	2309-9089,1015-8758	1015-8758	15760884
ACTA THERIOLOGICA	Mammal Research Institute	2190-3743,0001-7051	0001-7051	9138987
Acta Turistica	Faculty of Economics and Business, University of Zagreb	1848-6061,0353-4316	0353-4316	15767007
Acta Universitatis Lodziensis Folia oeconomica	Uniwersytet Lodzki (University of Lodz)	2353-7663,0208-6018	0208-6018	50434829
Acta Zoologica Academiae Scientiarum Hungaricae	Acta Zoologica Hungarica	2064-2474,1217-8837	1217-8837	3618739
