issns	existing_issn	Q		
1960-6176,0769-0959	0769-0959	2810781
2190-5738,2190-572X	2190-5738	27723811
2550-2247,0128-5157	0128-5157	50434739
1614-2411,1619-4500	1619-4500	15760724
2594-9675,1415-8973	1415-8973	50516551
2376-6662,0011-3255	0011-3255	27715791
2325-5161,2325-1603	2325-1603	27727539
2330-5525,1532-8813	1532-8813	27723828
2317-6326,0102-6720	0102-6720	26853858
2191-4664,0720-6763	0720-6763	287322
1884-5002,1884-426X	1884-426X	11189959
2159-4260,0001-4788	0001-4788	15752038
2327-4468,0148-4184	0148-4184	15760379
1432-0517,0949-1775	0949-1775	15753197
1562-6865,1063-7710	1063-7710	5153419
1557-0223,1557-0215	1557-0215	23928679
1993-1352,0510-9752	1993-1352	15711092
1588-2527,0238-0161	0238-0161	15757569
1421-9654,0001-5180	0001-5180	27708678
1644-3276,1234-950X	1234-950X	9138965
2392-2389,0065-1044	0065-1044	12646949
2236-1472,0301-2123	0301-2123	21386225
2166-3408,1253-8078	1253-8078	14637502
1588-2578,0236-6495	0236-6495	5656870
2448-7589,0187-7151	0187-7151	5656877
2406-0887,0354-950X	0354-950X	15759216
2083-5736,1233-2356	1233-2356	9138970
2295-3337,1784-3286	1784-3286	15757609
1600-5724,0108-7673	1600-5724	15708686
2228-4699,1406-2283	1406-2283	15754278
1587-1037,1217-8977	1217-8977	15746116
1895-7455,1895-6572	1895-6572	15760351
2406-6168,0567-7572	0567-7572	15756227
1521-401X,0323-4320	0323-4320	15760259
2228-3501,1406-9822	1406-9822	15750814
2179-975X,0102-6712	2179-975X	50815813
1949-0763,0374-0463	0374-0463	15760504
2315-4144,0251-4184	0251-4184	15759999
1805-9694,1211-4286	1211-4286	15760493
1840-2879,1840-1848	1840-1848	26853864
1563-2571,0303-8173	0303-8173	15759796
2194-1289,1006-7191	1006-7191	15750013
2191-4788,0894-0525	0894-0525	15765282
1804-6479,0036-5343	0036-5343	15751721
2353-074X,0001-625X	0001-625X	27724065
2240-2993,0300-9009	0300-9009	15749693
2084-4298,1730-7503	1730-7503	15759916
1869-1099,0253-505X	0253-505X	15750986
1588-2659,0001-6373	0001-6373	15752527
1600-0420,1395-3907	1395-3907	15716498
1734-8471,0001-6454	0001-6454	2823536
1651-2251,0001-6489	0001-6489	2492352
2406-095X,1450-7188	1450-7188	15764485
1588-2682,1219-7580	1219-7580	15751152
1786-3767,1589-9535	1589-9535	2471672
1336-040X,0323-0465	0323-0465	2380391
1588-2682,0231-424X	0231-424X	15767155
1365-201X,0001-6772	0001-6772	2662816
2448-735X,0185-3082	0185-3082	50434858
1805-2363,1210-2709	1210-2709	15754838
1807-863X,1679-9283	1679-9283	15757532
1807-8648,1679-9291	1679-9291	15757533
2544-1760,1644-0633	1644-0633	15754835
2450-7997,1644-0722	1644-0722	15767597
1898-9594,1644-0730	1644-0730	15766707
2415-0487,1023-0564	1023-0564	15754456
1338-5267,1335-2555	1338-5267	50814408
2309-9089,1015-8758	1015-8758	15760884
2190-3743,0001-7051	0001-7051	9138987
1848-6061,0353-4316	0353-4316	15767007
2353-7663,0208-6018	0208-6018	50434829
2064-2474,1217-8837	1217-8837	3618739
1648-6919,1392-1657	1392-1657	15817387
1881-6371,0914-5818	0914-5818	27714627
2158-6098,0162-6620	0162-6620	15757161
2410-0390,1993-047X	1993-047X	50808142
2215-3535,0258-6444	2215-3535	27726335
1748-295X,1748-2941	1748-2941	15745553
1639-4798,1280-8571	1280-8571	5735523
2162-397X,2162-3945	2162-3945	26853830
1949-0461,1084-1806	1084-1806	15751225
1969-6736,0751-7696	0751-7696	16672681
1544-452X,1092-6755	1092-6755	15751793
2048-4038,0263-6174	0263-6174	15753313
2162-4070,1045-1595	1045-1595	20312331
2055-0316,2055-0308	2055-0316	50815229
2055-0359,2055-0340	2055-0359	50815227
2169-0375,1536-1365	1536-1365	13362324
1572-8765,0929-1881	0929-1881	15760663
2251-7308,2228-5881	2228-5881	26853868
1314-7668,1313-9495	1313-9495	27723836
1314-7609,1313-1311	1313-1311	15758244
1687-8035,1687-8027	1687-8027	26842273
1864-8266,1864-8258	1864-8258	13361298
1539-4077,1463-4988	1463-4988	15746547
2151-0059,0001-2351	0001-2351	15765755
1710-3991,0001-771X	0001-771X	27718381
2059-6464,0001-9240	0001-9240	15767122
1588-2713,0002-1873	0002-1873	15750557
2366-097X,0002-3752	0002-3752	1210974
1614-0176,0002-6018	0002-6018	4654500
2325-5064,0002-7316	0002-7316	4742995
1097-4571,0002-8231	0002-8231	152040
1944-7981,0002-8282	0002-8282	1740221
1553-0795,0002-9106	0002-9106	26839888
2160-0562,0002-9157	0002-9157	15760320
2326-9197,0002-919X	0002-919X	4744238
2161-7953,0002-9300	0002-9300	2646273
1945-452X,0002-9599	0002-9599	465355
2161-8062,0003-097X	0003-097X	589209
0003-181X,0337-307X	0337-307X	3487551
2507-0290,0003-2468	0003-2468	15749776
1097-0185,0003-276X	0003-276X	24056056
1797-2442,0003-3847	0003-3847	5696319
2100-000X,0003-4088	0003-4088	15767436
2261-4427,0003-4134	0003-4134	15745226
1297-9651,0003-424X	0003-424X	27968332
1797-2450,0003-455X	0003-455X	15757044
1364-8594,0003-4983	0003-4983	26842813
2292-3586,0003-5459	0003-5459	15764760
1884-765X,0003-5505	0003-5505	27718207
1588-2748,0003-567X	0003-567X	772287
1608-3024,0003-6838	0003-6838	15746404
1934-9424,0003-701X	0003-701X	15745242
1589-486X,0003-8032	0003-8032	776367
2194-3958,0003-9233	0003-9233	635627
2198-0489,0003-9381	0003-9381	635641
2194-3826,0003-9497	0003-9497	635692
2507-038X,0003-9810	0003-9810	15756569
1661-4917,0004-069X	0004-069X	15760838
2300-2506,0004-0746	2300-2506	15766566
1923-1245,0004-0843	0004-0843	4787488
2217-8767,0004-1963	0004-1963	27720095
2325-5307,0004-3249	0004-3249	4796916
2111-4552,0004-3958	0004-3958	15756240
2235-5871,0004-4717	0004-4717	15755123
2053-051X,0004-6264	0004-6264	2319640
1470-6828,0004-8402	0004-8402	2196617
1440-1673,0004-8461	0004-8461	6295529
1839-471X,0004-8623	0004-8623	15762649
2325-6087,0004-9158	0004-9158	15759297
1467-8470,0004-9190	0004-9190	15757070
2046-2913,0004-9468	0004-9468	15766959
2201-4276,0004-9670	0004-9670	15767010
1943-6289,0005-3155	0005-3155	27719942
2376-7618,0005-772X	0005-772X	15766714
1521-3986,0005-8025	1521-3986	3014091
2194-9646,0006-1972	0006-1972	856594
2213-4379,0006-2294	0006-2294	2218162
1421-9727,0006-3126	0006-3126	2817272
1521-4037,0006-3452	0006-3452	27709368
1555-6654,0006-3509	0006-3509	15751782
2162-5387,0006-4246	0006-4246	7718432
2212-1676,0006-5196	0006-5196	1086260
2064-261X,0006-7768	0006-7768	27717954
2185-3835,0006-808X	0006-808X	13548534
2311-9284,0006-8241	0006-8241	5732717
1938-2979,0006-9698	0006-9698	21385091
1465-3087,0007-1226	0007-1226	15753399
2332-0486,0007-1773	0007-1773	15759437
1968-3766,0007-4403	0007-4403	2928064
1943-7730,0007-5027	0007-5027	26839743
1884-4170,0007-5124	0007-5124	27710834
2057-0570,0007-5167	0007-5167	15759939
1864-449X,0007-7704	0007-7704	871189
1938-288X,0007-9367	0007-9367	6400102
1918-8218,0007-974X	0007-974X	15752030
1969-6787,0008-0276	0008-0276	2933148
2456-6462,0008-0683	0008-0683	15759619
2162-8564,0008-1256	0008-1256	5020678
1918-1825,0008-3984	0008-3984	13452864
1480-3305,0008-4026	0008-4026	5746292
2292-8502,0008-4107	0008-4107	15762035
1920-2903,0008-4123	0008-4123	15765960
1911-9828,0008-4174	0008-4174	15749644
1715-3360,0008-4182	0008-4182	15749645
1918-1833,0008-4220	0008-4220	2714071
1879-1395,0008-4433	0008-4433	15757086
2375-2475,0008-5006	0008-5006	15754742
2332-1660,0008-5030	0008-5030	6296128
2470-6302,0008-6495	0008-6495	15817410
2165-5391,0008-7114	0008-7114	21385155
1782-141X,0008-9664	0008-9664	47009732
2386-1274,0009-0875	0009-0875	15757180
0973-063X,0009-4455	0009-4455	15746496
1523-8253,0009-4978	0009-4978	27716667
2034-6441,0009-6067	0009-6067	15761399
1973-4409,0009-725X	0009-725X	2535964
2038-4815,0010-0757	0010-0757	5777499
1212-6950,0010-0765	0010-0765	45134498
2151-6227,0010-4159	0010-4159	15758877
1090-2368,0010-4809	0010-4809	6294850
2196-9523,0010-5155	0010-5155	1123851
2330-9091,0010-7530	0010-7530	5165000
1555-7340,0010-7980	1555-7340	29043710
2299-551X,0011-4553	0011-4553	27710591
1572-9486,0011-4626	0011-4626	5413003
1850-1699,0011-6793	0011-6793	5799467
0976-464X,0011-748X	0011-748X	15764045
2498-6496,0011-8249	0011-8249	15767035
1365-4362,0011-9059	0011-9059	15752742
1869-7135,0012-0456	0012-0456	15758635
1439-4413,0012-0472	0012-0472	319640
2365-9521,0012-0936	0012-0936	1204385
2192-1482,0012-1045	0012-1045	5266306
2194-3842,0012-1223	0012-1223	1205540
2366-0651,0012-1363	0012-1363	1206085
1760-6136,0012-320X	1760-6136	15708766
1969-6965,0012-4273	0012-4273	15767598
2307-289X,0012-5415	0012-5415	27715813
2397-3498,0012-5806	0012-5806	15754682
1755-5248,0012-6543	0012-6543	26842203
2327-6096,0012-9623	0012-9623	29043986
1573-0808,0013-0451	0013-0451	4037915
2162-3163,0013-175X	0013-175X	15745212
1935-102X,0013-189X	0013-189X	5341257
2411-1333,0013-5380	0013-5380	15765464
1969-6981,0013-7545	1969-6981	43387559
1880-358X,0013-7626	0013-7626	15759488
1880-358X,0013-7626	0013-7626	15759488
2162-3236,0013-872X	0013-872X	13415266
1555-6689,0013-8738	0013-8738	47161189
2504-2564,0013-9432	0013-9432	26839796
1528-1157,0013-9580	0013-9580	5382969
2241-8512,0013-9696	0013-9696	27717452
1961-8700,0014-0481	0014-0481	3058353
2111-4579,0014-0759	0014-0759	1368412
2426-5543,0014-2115	0014-2115	27715784
1708-9069,0014-214X	0014-214X	15762812
2101-0056,0014-2166	0014-2166	3236586
2272-9011,0014-2239	0014-2239	15759969
1432-1033,0014-2956	0014-2956	1388041
2198-0470,0014-3502	0014-3502	1381202
2162-4291,0015-0754	0015-0754	21385353
1982-4688,0015-3826	0015-3826	15754303
