issns	missing _issn	Q				
1960-6176,0769-0959	1960-6176	2810781
2190-5738,2190-572X	2190-572X	27723811
2550-2247,0128-5157	2550-2247	50434739
1614-2411,1619-4500	1614-2411	15760724
2594-9675,1415-8973	2594-9675	50516551
2376-6662,0011-3255	2376-6662	27715791
2325-5161,2325-1603	2325-5161	27727539
2330-5525,1532-8813	2330-5525	27723828
2317-6326,0102-6720	2317-6326	26853858
2191-4664,0720-6763	2191-4664	287322
1884-5002,1884-426X	1884-5002	11189959
2159-4260,0001-4788	2159-4260	15752038
2327-4468,0148-4184	2327-4468	15760379
1432-0517,0949-1775	1432-0517	15753197
1562-6865,1063-7710	1562-6865	5153419
1557-0223,1557-0215	1557-0223	23928679
1993-1352,0510-9752	0510-9752	15711092
1588-2527,0238-0161	1588-2527	15757569
1421-9654,0001-5180	1421-9654	27708678
1644-3276,1234-950X	1644-3276	9138965
2392-2389,0065-1044	2392-2389	12646949
2236-1472,0301-2123	2236-1472	21386225
2166-3408,1253-8078	2166-3408	14637502
1588-2578,0236-6495	1588-2578	5656870
2448-7589,0187-7151	2448-7589	5656877
2406-0887,0354-950X	2406-0887	15759216
2083-5736,1233-2356	2083-5736	9138970
2295-3337,1784-3286	2295-3337	15757609
2228-4699,1406-2283	2228-4699	15754278
1587-1037,1217-8977	1587-1037	15746116
1895-7455,1895-6572	1895-7455	15760351
2406-6168,0567-7572	2406-6168	15756227
1521-401X,0323-4320	1521-401X	15760259
2228-3501,1406-9822	2228-3501	15750814
2179-975X,0102-6712	0102-6712	50815813
1949-0763,0374-0463	1949-0763	15760504
2315-4144,0251-4184	2315-4144	15759999
1805-9694,1211-4286	1805-9694	15760493
1840-2879,1840-1848	1840-2879	26853864
1563-2571,0303-8173	1563-2571	15759796
2194-1289,1006-7191	2194-1289	15750013
2191-4788,0894-0525	2191-4788	15765282
1804-6479,0036-5343	1804-6479	15751721
2353-074X,0001-625X	2353-074X	27724065
2240-2993,0300-9009	2240-2993	15749693
2084-4298,1730-7503	2084-4298	15759916
1869-1099,0253-505X	1869-1099	15750986
1588-2659,0001-6373	1588-2659	15752527
1600-0420,1395-3907	1600-0420	15716498
1734-8471,0001-6454	1734-8471	2823536
1651-2251,0001-6489	1651-2251	2492352
2406-095X,1450-7188	2406-095X	15764485
1588-2682,1219-7580	1588-2682	15751152
1786-3767,1589-9535	1786-3767	2471672
1336-040X,0323-0465	1336-040X	2380391
1588-2682,0231-424X	1588-2682	15767155
1365-201X,0001-6772	1365-201X	2662816
2448-735X,0185-3082	2448-735X	50434858
1805-2363,1210-2709	1805-2363	15754838
1807-863X,1679-9283	1807-863X	15757532
1807-8648,1679-9291	1807-8648	15757533
2544-1760,1644-0633	2544-1760	15754835
2450-7997,1644-0722	2450-7997	15767597
1898-9594,1644-0730	1898-9594	15766707
2415-0487,1023-0564	2415-0487	15754456
1338-5267,1335-2555	1335-2555	50814408
2309-9089,1015-8758	2309-9089	15760884
2190-3743,0001-7051	2190-3743	9138987
1848-6061,0353-4316	1848-6061	15767007
2353-7663,0208-6018	2353-7663	50434829
2064-2474,1217-8837	2064-2474	3618739
1648-6919,1392-1657	1648-6919	15817387
1881-6371,0914-5818	1881-6371	27714627
