title	publisher	1	2
Journal of Musculoskeletal Diseases in Ayurveda	Medknow Publications	0000-1112	
Andrew Gilmartin Review	CrossRef test user	0000-992X	
ABCA Bulletin	SAGE Publications	0001-0383	
ADE Bulletin	Modern Language Association	0001-0898	
AEDS Journal	Informa UK (Taylor & Francis)	0001-1037	
Academic Therapy	SAGE Publications	0001-396X	
Bulletin de la Commission royale d histoire Académie royale de Belgique	PERSEE Program	0001-415X	
Acta Agriculturae Scandinavica	Informa UK (Taylor & Francis)	0001-5121	
Acta Forestalia Fennica	Finnish Society of Forest Science	0001-5636	
Acta Mathematica Academiae Scientiarum Hungaricae	Springer-Verlag	0001-5954	
Acta Physica Academiae Scientiarum Hungaricae	Springer-Verlag	0001-6705	
Administration	Walter de Gruyter GmbH	0001-8325	
Advances in Molecular Relaxation Processes	Elsevier	0001-8716	
Aeronautical Quarterly	Cambridge University Press	0001-9259	
African Studies Newsletter	Cambridge University Press	0002-0214	
Afro-Ásia	Universidade Federal da Bahia	0002-0591	
The agricultural gazette of New South Wales	Smithsonian Institution Biodiversity Heritage Library	0002-1474	
Физика земли	Akademizdatcenter Nauka	0002-3337	
Известия Российской академии наук Теория и системы управления	Akademizdatcenter Nauka	0002-3388	
Известия Российской академии наук Физика атмосферы и океана	Akademizdatcenter Nauka	0002-3515	
Állattani Közlemények	Allattani Kozlemenyek	0002-5658	
ACI Journal Proceedings	American Concrete Institute	0002-8061	
Transactions American Geophysical Union	American Geophysical Union	0002-8606	
Bangladesh Journal of Animal Science	Bangladesh Journals Online	0003-3588	
Annales des Sciences Forestières	EDP Sciences	0003-4312	
Annals of Mathematical Logic	Elsevier	0003-4843	
Arboricultural Association Journal	Informa UK (Taylor & Francis)	0003-7931	
Archiv für das Eisenhüttenwesen	Wiley (John Wiley & Sons)	0003-8962	
Archiv für Mathematische Logik und Grundlagenforschung	Springer-Verlag	0003-9268	
Archiv für Pflanzenschutz	Informa UK (Taylor & Francis)	0003-9349	
Archivio Penale	Pisa University Press	0004-0304	
Bulletin de l Association française pour l étude du quaternaire	PERSEE Program	0004-5500	
Bulletin de l Association Guillaume Budé	PERSEE Program	0004-5527	
The Journal-Newsletter of the Association of Teachers of Japanese	JSTOR	0004-5810	
Journal of the Australian College of Speech Therapists	Informa UK (Informa Healthcare)	0004-8909	
Australian Journal of Agricultural Economics	Wiley (Blackwell Publishing)	0004-9395	
Australian Journal of Social Work	Informa UK (Taylor & Francis)	0004-9565	
Royal Australian Planning Institute Journal	Informa UK (Taylor & Francis)	0004-9999	
Автоматическая сварка	Co. Ltd. Ukrinformnauka	0005-111X	
Biochimica et Biophysica Acta (BBA) - Protein Structure	Elsevier	0005-2795	
Behavior Science Notes	SAGE Publications	0005-7886	
Beitrage zur Neotropischen Fauna	Informa UK (Taylor & Francis)	0005-8130	
Berichte der Bunsengesellschaft für physikalische Chemie	Wiley (John Wiley & Sons)	0005-9021	0372-8323
British Phycological Journal	Informa UK (Taylor & Francis)	0007-1617	
Bulletin Géodésique	Springer-Verlag	0007-4632	
C R C Critical Reviews in Analytical Chemistry	Informa UK (Taylor & Francis)	0007-8980	
Cahiers de la Puéricultrice	Elsevier	0007-9820	
Cahiers de Nutrition et de Diététique	Elsevier	0007-9960	
Canadian Institute of Food Technology Journal	Elsevier	0008-3860	
The Canadian Psychologist	American Psychological Association	0008-4832	
Ceiba	Latin America Journals Online	0008-8692	
Quarterly Reviews Chemical Society	The Royal Society of Chemistry	0009-2681	
