Q50419768	0001-3714	0001-3714	1678-9881
Q50424714	0003-2565	0003-2565	2406-2693
Q50424724	0006-176X	0006-176X	1683-8947
Q27715572	0006-6184	0006-6184	0
Q50426187	0007-215X	0007-215X	1845-5859
Q50426188	0008-7629	0008-7629	2399-9667
Q50425426	0009-6687	0009-6687	2532-5299
Q50426193	0009-6784	0009-6784	2314-3738
Q50432439	0011-5258	0011-5258	1678-4588
Q50426219	0013-3264	0013-3264	1820-7375
Q50426222	0013-970X	0013-970X	2064-4477
Q50424751	0016-7789	0016-7789	1854-620X
Q50426224	0020-3874	0020-3874	2316-901X
Q50426230	0023-2424	0023-2424	1581-7903
Q50426229	0023-270X	0023-270X	2304-8557
Q50814228	0023-8082	0	0023-8082
Q50424758	0024-3922	0024-3922	2350-420X
Q50432446	0026-704X	0026-704X	1846-4025
Q50432452	0026-9611	0026-9611	2037-3651
Q50432461	0028-2006	0028-2006	2226-2385
Q50432474	0029-2540	0029-2540	0
Q50432517	0029-5698	0029-5698	2306-6539
Q50432521	0030-9648	0030-9648	2411-8842
Q50432533	0032-8847	0032-8847	2535-311X
Q50432689	0033-4952	0033-4952	2421-5848
Q50432707	0034-7140	0034-7140	1806-9134
Q50432712	0034-7183	0034-7183	2176-6681
Q50432877	0034-737X	0034-737X	2177-3491
Q7318482	0034-7493	0034-7493	1561-2945
Q50432719	0034-7515	0034-7515	1561-2988
Q50426246	0034-7612	0034-7612	0
Q50426249	0034-849X	0034-849X	1988-4192
Q50432726	0034-8678	0034-8678	2559-639X
Q50432732	0037-7074	0037-7074	1849-1057
Q50426255	0037-8712	0037-8712	2175-1188
Q27717815	0038-2329	0038-2329	2305-8862
Q50432737	0039-3991	0039-3991	2067-5119
Q50426258	0040-2176	0040-2176	2560-3086
Q43768615	0041-476X	0041-476X	2309-9070
Q50426260	0041-8420	0041-8420	2224-6185
Q50426265	0042-3955	0042-3955	1984-6746
Q9386958	0044-1791	0044-1791	2449-8637
Q50426267	0045-6888	0045-6888	1806-6690
Q50432741	0048-2706	0048-2706	2227-9199
Q50432750	0049-3449	0049-3449	0717-6295
Q50432753	0067-9615	0067-9615	1981-4100
Q50421661	0075-0530	0075-0530	2410-0862
Q50432757	0077-2712	0077-2712	0
Q50432761	0080-2107	0080-2107	1984-6142
Q50425207	0081-6485	0081-6485	0
Q9347373	0081-7090	0081-7090	2392-2435
Q50426273	0085-3674	0085-3674	0
Q50424298	0085-6320	0085-6320	2560-4880
Q50425041	0100-1302	0100-1302	2447-6595
Q50418870	0100-2430	0100-2430	2527-2179
Q50418875	0100-3674	0100-3674	2238-6416
Q50426275	0100-6916	0100-6916	0
Q50424321	0100-8358	0100-8358	0
Q50432769	0100-8587	0100-8587	1984-0438
Q50426278	0101-1812	0101-1812	1982-2014
Q50426285	0101-2657	0101-2657	2175-7755
Q50426286	0101-3130	0101-3130	2237-6461
Q50432771	0101-3262	0101-3262	1678-7110
Q50426294	0101-3289	0101-3289	2179-3255
Q50432776	0101-3300	0101-3300	1980-5403
Q50426296	0101-465X	0101-465X	1981-2582
Q50426299	0101-4714	0101-4714	0
Q50426302	0101-6628	0101-6628	0
Q50432779	0101-7004	0101-7004	2179-9784
Q50426304	0101-708X	0101-708X	1984-8501
Q50426309	0101-7136	0101-7136	1981-8416
Q50426313	0101-7187	0101-7187	0
Q50426314	0101-7438	0101-7438	1678-5142
Q50432781	0101-7888	0101-7888	2357-9447
Q15753100	0101-8051	0101-8051	2358-4793
Q50432784	0101-8108	0101-8108	0
Q50432796	0101-9031	0101-9031	1984-6444
Q50432823	0101-9074	0101-9074	1980-4369
Q50432825	0101-9562	0101-9562	2177-7055
Q50432826	0102-1222	0102-1222	2179-1740
Q50432827	0102-227X	0102-227X	2175-3105
Q50432829	0102-2555	0102-2555	0
Q50432830	0102-3586	0102-3586	1678-4642
Q27726630	0102-3616	0102-3616	1982-4378
Q50432831	0102-3772	0102-3772	1806-3446
Q50432833	0102-4388	0102-4388	2236-7594
Q50432834	0102-4469	0102-4469	2176-8757
Q28677773	0102-4698	0102-4698	1982-6621
Q10360077	0102-4744	0102-4744	0
Q50432837	0102-4809	0102-4809	2358-9787
Q50432838	0102-5198	0102-5198	2176-4786
Q50432839	0102-5465	0102-5465	2176-4794
Q50432841	0102-5473	0102-5473	2175-795X
Q50432842	0102-549X	0102-549X	2448-1483
Q50432844	0102-6267	0102-6267	2238-8915
Q50432845	0102-6445	0102-6445	0
Q10360073	0102-6909	0102-6909	0
Q50432846	0102-6992	0102-6992	1980-5462
Q50432848	0102-700X	0102-700X	2237-8723
Q50432850	0102-7182	0102-7182	1807-0310
Q50432852	0102-7360	0102-7360	2236-7608
Q50432854	0102-7735	0102-7735	1981-1802
Q50432856	0102-7972	0102-7972	1678-7153
Q50426324	0102-8529	0102-8529	1982-0240
Q50426326	0102-9460	0102-9460	1980-6523
Q50426331	0102-9576	0102-9576	2358-1409
Q50426332	0103-0000	0103-0000	0
Q50426334	0103-1104	0103-1104	2358-2898
Q50426336	0103-1414	0103-1414	1806-6925
Q50426338	0103-1570	0103-1570	1982-4513
Q50426340	0103-1643	0103-1643	2175-7925
Q50426343	0103-166X	0103-166X	1982-0275
Q50426344	0103-2003	0103-2003	1806-9479
Q50426347	0103-2070	0103-2070	1809-4554
Q50426350	0103-2178	0103-2178	2238-3824
Q50426357	0103-2674	0103-2674	2178-5031
Q50426359	0103-314X	0103-314X	1980-6736
Q50426361	0103-3352	0103-3352	2178-4884
Q50426364	0103-3638	0103-3638	2236-4242
Q50426368	0103-3786	0103-3786	2318-0889
Q50426372	0103-3948	0103-3948	1983-3083
Q50426374	0103-4014	0103-4014	1806-9592
Q50426380	0103-4316	0103-4316	2176-6436
Q50426387	0103-4979	0103-4979	1983-8239
Q50426389	0103-5150	0103-5150	1980-5918
Q50426469	0103-5355	0103-5355	2359-5922
Q50426393	0103-5371	0103-5371	1980-8623
Q50426402	0103-636X	0103-636X	1980-4415
Q50426405	0103-6513	0103-6513	1980-5411
Q50426411	0103-6564	0103-6564	1678-5177
Q50426416	0103-6831	0103-6831	1984-932X
Q50426419	0103-7250	0103-7250	2316-3690
Q50426422	0103-7307	0103-7307	1980-6248
Q50426423	0103-7412	0103-7412	1517-7017
Q50426429	0103-7668	0103-7668	2525-6203
Q50426426	0103-801X	0103-801X	2176-1078
Q50426430	0103-8427	0103-8427	2318-2962
Q50426432	0103-863X	0103-863X	1982-4327
Q50426436	0103-8842	0103-8842	1982-9949
Q50426434	0103-9415	0103-9415	0
Q50426438	0104-0219	0104-0219	2318-9312
Q50426440	0104-0529	0104-0529	2317-4307
Q50426444	0104-0618	0104-0618	1982-3533
Q50426447	0104-0707	0104-0707	1980-265X
Q50432857	0104-0960	0104-0960	2318-8448
Q50426449	0104-1290	0104-1290	1984-0470
Q50426453	0104-1320	0104-1320	2175-294X
Q50426456	0104-1428	0104-1428	1678-5169
Q50426455	0104-3293	0104-3293	2447-5246
Q50426459	0104-3315	0104-3315	2236-7284
Q50426462	0104-3757	0104-3757	1983-1730
Q50426463	0104-4036	0104-4036	0
Q50426465	0104-4060	0104-4060	0
Q50432859	0104-4311	0104-4311	2177-6059
Q50432861	0104-4478	0104-4478	1678-9873
Q50432862	0104-4931	0104-4931	2238-2860
Q50432863	0104-530X	0104-530X	1806-9649
Q50432864	0104-5490	0104-5490	2238-6211
Q50432867	0104-6098	0104-6098	2359-5361
Q50432868	0104-6276	0104-6276	1807-0191
Q50432879	0104-7043	0104-7043	2358-0194
Q50432881	0104-7183	0104-7183	1806-9983
Q50432885	0104-8023	0104-8023	1980-5489
Q50432887	0104-8481	0104-8481	2238-121X
Q50432889	0104-8694	0104-8694	1983-2109
Q50432890	0104-8740	0104-8740	2178-2865
Q50432892	0104-8775	0104-8775	1982-4343
Q50432894	0104-9992	0104-9992	2179-5282
Q50432895	0107-3753	0107-3753	0
Q50432897	0120-0135	0120-0135	2256-2273
Q50432900	0120-0283	0120-0283	2145-8553
Q50432901	0120-0739	0120-0739	0
Q50424768	0120-0976	0120-0976	0
Q50424767	0120-1166	0120-1166	2390-0075
Q50432903	0120-1468	0120-1468	0
Q50424796	0120-159X	0120-159X	2256-5485
Q50432906	0120-2596	0120-2596	2323-0622
Q50432909	0120-2952	0120-2952	2357-3813
Q50432912	0120-3053	0120-3053	2256-5779
Q50432914	0120-338X	0120-338X	2256-5469
Q50432916	0120-3630	0120-3630	2357-3740
Q50432919	0120-386X	0120-386X	0
Q50424806	0120-3916	0120-3916	0
Q50424809	0120-419X	0120-419X	2145-8472
Q50432921	0120-4327	0120-4327	2216-0116
Q50432924	0120-4645	0120-4645	2256-5078
Q50425484	0120-4807	0120-4807	2011-2734
Q50432926	0120-4823	0120-4823	2027-2731
Q50432928	0120-5498	0120-5498	2389-8356
