external_id	external_url	q
0001-3714	https://doaj.org/toc/0001-3714	Q50419768
0003-2565	https://doaj.org/toc/0003-2565	Q50424714
0006-176X	https://doaj.org/toc/0006-176X	Q50424724
0006-6184	https://doaj.org/toc/0006-6184	Q27715572
0007-215X	https://doaj.org/toc/0007-215X	Q50426187
0008-7629	https://doaj.org/toc/0008-7629	Q50426188
0009-6687	https://doaj.org/toc/0009-6687	Q50425426
0009-6784	https://doaj.org/toc/0009-6784	Q50426193
0011-5258	https://doaj.org/toc/0011-5258	Q50432439
0013-3264	https://doaj.org/toc/0013-3264	Q50426219
0013-970X	https://doaj.org/toc/0013-970X	Q50426222
0016-7789	https://doaj.org/toc/0016-7789	Q50424751
0020-3874	https://doaj.org/toc/0020-3874	Q50426224
0023-2424	https://doaj.org/toc/0023-2424	Q50426230
0023-270X	https://doaj.org/toc/0023-270X	Q50426229
0023-8082	https://doaj.org/toc/0023-8082	Q50814228
0024-3922	https://doaj.org/toc/0024-3922	Q50424758
0026-704X	https://doaj.org/toc/0026-704X	Q50432446
0026-9611	https://doaj.org/toc/0026-9611	Q50432452
0028-2006	https://doaj.org/toc/0028-2006	Q50432461
0029-2540	https://doaj.org/toc/0029-2540	Q50432474
0029-5698	https://doaj.org/toc/0029-5698	Q50432517
0030-9648	https://doaj.org/toc/0030-9648	Q50432521
0032-8847	https://doaj.org/toc/0032-8847	Q50432533
0033-4952	https://doaj.org/toc/0033-4952	Q50432689
0034-7140	https://doaj.org/toc/0034-7140	Q50432707
0034-7183	https://doaj.org/toc/0034-7183	Q50432712
0034-737X	https://doaj.org/toc/0034-737X	Q50432877
0034-7493	https://doaj.org/toc/0034-7493	Q7318482
0034-7515	https://doaj.org/toc/0034-7515	Q50432719
0034-7612	https://doaj.org/toc/0034-7612	Q50426246
0034-849X	https://doaj.org/toc/0034-849X	Q50426249
0034-8678	https://doaj.org/toc/0034-8678	Q50432726
0037-7074	https://doaj.org/toc/0037-7074	Q50432732
0037-8712	https://doaj.org/toc/0037-8712	Q50426255
0038-2329	https://doaj.org/toc/0038-2329	Q27717815
0039-3991	https://doaj.org/toc/0039-3991	Q50432737
0040-2176	https://doaj.org/toc/0040-2176	Q50426258
0041-476X	https://doaj.org/toc/0041-476X	Q43768615
0041-8420	https://doaj.org/toc/0041-8420	Q50426260
0042-3955	https://doaj.org/toc/0042-3955	Q50426265
0044-1791	https://doaj.org/toc/0044-1791	Q9386958
0045-6888	https://doaj.org/toc/0045-6888	Q50426267
0048-2706	https://doaj.org/toc/0048-2706	Q50432741
