#entry_id	catalog	external_id	external_url	name	description	entry_type	mnm_user_id	q	matched_on	on wikidata
41709069	1070	0204-2061	https://doaj.org/toc/0204-2061	Knygotyra	"Academic journal published by Vilnius University Press , covering the subjects:  Bibliography. Library science. Information resources"	Q737498	15527	Q16456679	2.01803E+13	http://www.wikidata.org/entity/Q16456679 
41709282	1070	0584-9888	https://doaj.org/toc/0584-9888	Zbornik Radova Vizantološkog Instituta	"Academic journal published by Institute for Byzantine Studies of the Serbian Academy of Sciences and Arts , covering the subjects:  History (General) and history of Europe"	Q737498	15527	Q16619689	2.01803E+13	http://www.wikidata.org/entity/Q16619689 
41710076	1070	1502-7473	https://doaj.org/toc/1502-7473	Tidsskrift for Kulturforskning	"Academic journal published by Novus forlag , covering the subjects:  Geography. Anthropology. Recreation: Anthropology: Ethnology. Social and cultural anthropology"	Q737498	54624	Q19392470	2.01803E+13	http://www.wikidata.org/entity/Q19392470 
41709210	1070	0350-820X	https://doaj.org/toc/0350-820X	Science of Sintering	"Academic journal published by International Institute for the Science of Sintering, Beograd , covering the subjects:  Technology: Chemical technology"	Q737498	15527	Q25469379	2.01803E+13	http://www.wikidata.org/entity/Q25469379 
41709071	1070	0208-7375	https://doaj.org/toc/0208-7375	Polish Political Science Yearbook	"Academic journal published by Wydawnictwo Adam Marszałek , covering the subjects:  Political science: International relations | Political science: Political science (General)"	Q737498	256758	Q48866118	2.01803E+13	http://www.wikidata.org/entity/Q48866118 
41709211	1070	0350-8501	https://doaj.org/toc/0350-8501	Zbornik Radova Pravnog Fakulteta u Nišu	"Academic journal published by Faculty of Law, Niš , covering the subjects:  Law"	Q737498	15527	Q50285260	2.01803E+13	http://www.wikidata.org/entity/Q50285260 
41712654	1070	2311-8822	https://doaj.org/toc/2311-8822	Future Human Image	"Academic journal published by International Society of Philosophy and Cosmology , covering the subjects:  Education"	Q737498	78209	Q50413582	2.01803E+13	http://www.wikidata.org/entity/Q50413582 
41708756	1070	0001-3714	https://doaj.org/toc/0001-3714	Revista de Microbiologia	"Academic journal published by Sociedade Brasileira de Microbiologia , covering the subjects:  Science: Microbiology"	Q737498	54624	Q50419768	2.01803E+13	http://www.wikidata.org/entity/Q50419768 
41716530	1070	2602-3040	https://doaj.org/toc/2602-3040	Cukurova Medical Journal	"Academic journal published by Cukurova University , covering the subjects:  Medicine: Medicine (General)"	Q737498	54624	Q50419784	2.01803E+13	http://www.wikidata.org/entity/Q50419784 
41709338	1070	0809-2044	https://doaj.org/toc/0809-2044	Norsk Litteraturvitenskapelig Tidsskrift	"Academic journal published by Scandinavian University Press/Universitetsforlaget , covering the subjects:  Language and Literature: Literature (General)"	Q737498	54624	Q50419850	2.01803E+13	http://www.wikidata.org/entity/Q50419850 
41710077	1070	1504-3614	https://doaj.org/toc/1504-3614	Nordisk Tidsskrift for Helseforskning	"Academic journal published by Septentrio Academic Publishing , covering the subjects:  Medicine: Nursing | Medicine: Therapeutics. Pharmacology"	Q737498	54624	Q50420163	2.01803E+13	http://www.wikidata.org/entity/Q50420163 
41716205	1070	2464-4137	https://doaj.org/toc/2464-4137	Nordisk Poesi: Tidsskrift for Lyrikkforskning	"Academic journal published by Scandinavian University Press/Universitetsforlaget , covering the subjects:  Language and Literature: Literature (General)"	Q737498	54624	Q50420214	2.01803E+13	http://www.wikidata.org/entity/Q50420214 
41708801	1070	0075-0530	https://doaj.org/toc/0075-0530	The Iraqi Journal of Agricultural science	"Academic journal published by Baghdad University , covering the subjects:  Agriculture: Agriculture (General) | Agriculture: Plant culture"	Q737498	15527	Q50421661	2.01803E+13	http://www.wikidata.org/entity/Q50421661 
41708807	1070	0085-6320	https://doaj.org/toc/0085-6320	Sociološki Pregled	"Academic journal published by Sociological Society of Serbia, Belgrade , covering the subjects:  Social Sciences: Sociology (General)"	Q737498	15527	Q50424298	2.01803E+13	http://www.wikidata.org/entity/Q50424298 
41708808	1070	0100-1302	https://doaj.org/toc/0100-1302	Revista de Medicina da UFC	"Academic journal published by Universidade Federal do Ceará , covering the subjects:  Medicine: Medicine (General)"	Q737498	15527	Q50425041	2.01803E+13	http://www.wikidata.org/entity/Q50425041 
41708762	1070	0009-6687	https://doaj.org/toc/0009-6687	Ciceroniana	"Academic journal published by Università di Torino , covering the subjects:  Language and Literature: Philology. Linguistics | Language and Literature: Greek language and literature. Latin language and literature"	Q737498	225648	Q50425426	2.01803E+13	http://www.wikidata.org/entity/Q50425426 
41716441	1070	2532-5353	https://doaj.org/toc/2532-5353	Ciceroniana On Line	"Academic journal published by Università di Torino , covering the subjects:  Language and Literature: Philology. Linguistics | Language and Literature: Greek language and literature. Latin language and literature"	Q737498				http://www.wikidata.org/entity/Q50425426 
41709033	1070	0125-8273	https://doaj.org/toc/0125-8273	KKU Engineering Journal	"Academic journal published by Khon Kaen University , covering the subjects:  Technology: Engineering (General). Civil engineering (General)"	Q737498	78209	Q50434766	2.01803E+13	http://www.wikidata.org/entity/Q50434766 
41716429	1070	2530-8157	https://doaj.org/toc/2530-8157	Building & Management	"Academic journal published by Universidad Politécnica de Madrid , covering the subjects:  Technology: Building construction"	Q737498	985165	Q50499360	2.01803E+13	http://www.wikidata.org/entity/Q50499360 
41716442	1070	2532-6724	https://doaj.org/toc/2532-6724	América Crítica	"Academic journal published by Università degli Studi di Cagliari , covering the subjects:  Geography. Anthropology. Recreation: Anthropology | History America: Latin America. Spanish America"	Q737498	985165	Q50499489	2.01803E+13	http://www.wikidata.org/entity/Q50499489 
41716452	1070	2538-2144	https://doaj.org/toc/2538-2144	Herbal Medicines Journal	"Academic journal published by Lorestan University of Medical Sciences , covering the subjects:  Medicine: Pharmacy and materia medica"	Q737498	985165	Q50499681	2.01803E+13	http://www.wikidata.org/entity/Q50499681 
41716447	1070	2536-4731	https://doaj.org/toc/2536-4731	Journal of Foreign Language Education and Technology	"Academic journal published by Journal of Foreign Language Education and Technology , covering the subjects:  Education: Education (General) | Language and Literature: Philology. Linguistics"	Q737498	985165	Q50501261	2.01803E+13	http://www.wikidata.org/entity/Q50501261 
41716406	1070	2526-2149	https://doaj.org/toc/2526-2149	Revista Prática Docente	"Academic journal published by Instituto Federal de Mato Grosso , covering the subjects:  Education: Theory and practice of education"	Q737498	985165	Q50501676	2.01803E+13	http://www.wikidata.org/entity/Q50501676 
41716423	1070	2529-9638	https://doaj.org/toc/2529-9638	Revista Interuniversitaria de Investigación en Tecnología Educativa	"Academic journal published by Editum, Ediciones de la Universidad de Murcia , covering the subjects:  Education: Special aspects of education"	Q737498	985165	Q50502059	2.01803E+13	http://www.wikidata.org/entity/Q50502059 
41716350	1070	2525-1198	https://doaj.org/toc/2525-1198	Epistemología e Historia de la Ciencia	"Academic journal published by Universidad Nacional de Córdoba , covering the subjects:  Philosophy. Psychology. Religion: Speculative philosophy: Epistemology. Theory of knowledge | Science: Science (General)"	Q737498	985165	Q50502311	2.01803E+13	http://www.wikidata.org/entity/Q50502311 
41716074	1070	2444-0043	https://doaj.org/toc/2444-0043	Historia y Memoria de la Educación	"Academic journal published by Universidad Nacional de Educación a Distancia (UNED) , covering the subjects:  Education: History of education"	Q737498	985165	Q50504637	2.01803E+13	http://www.wikidata.org/entity/Q50504637 
41716080	1070	2444-6157	https://doaj.org/toc/2444-6157	Revista de Estudios de Seguridad Internacional	"Academic journal published by Universidad de Granada , covering the subjects:  Political science: International relations"	Q737498	985165	Q50504900	2.01803E+13	http://www.wikidata.org/entity/Q50504900 
41715924	1070	2397-6845	https://doaj.org/toc/2397-6845	Journal of Modern Human Pathology	"Academic journal published by NobleResearch Publishers , covering the subjects:  Medicine: Pathology"	Q737498	985165	Q50505606	2.01803E+13	http://www.wikidata.org/entity/Q50505606 
41715928	1070	2397-8570	https://doaj.org/toc/2397-8570	International Review of Social Psychology	"Academic journal published by Ubiquity Press , covering the subjects:  Philosophy. Psychology. Religion: Psychology"	Q737498	985165	Q50505909	2.01803E+13	http://www.wikidata.org/entity/Q50505909 
41715843	1070	2382-5014	https://doaj.org/toc/2382-5014	Revista Internacional de Cooperación y Desarrollo	"Academic journal published by Universidad de San Buenaventura , covering the subjects:  Political science: International relations | Social Sciences"	Q737498	985165	Q50506430	2.01803E+13	http://www.wikidata.org/entity/Q50506430 
41716081	1070	2444-7986	https://doaj.org/toc/2444-7986	Revista ORL	"Academic journal published by Ediciones Universidad de Salamanca , covering the subjects:  Medicine: Otorhinolaryngology"	Q737498	985165	Q50512784	2.01803E+13	http://www.wikidata.org/entity/Q50512784 
