Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
Academic Pathology,Acad Pathol,,2374-2895,SAGE Publications,101698648,v.5;Jan-Dec 2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3234/
Acta Medica Lituanica,Acta Med Litu,1392-0138,2029-4174,Lithuaniae Academia Scientiarum,9442465,v.24(4);2017,v.23;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2943/
Acute Medicine &#x0026; Surgery,Acute Med Surg,,2052-8817,Wiley-Blackwell,101635464,v.5(1);Jan 2018,v.2;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3317/
Advances in Simulation,Adv Simul (Lond),,2059-0628,BioMed Central,101700425,v.3;2018,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3392/
African Journal of Disability,Afr J Disabil,2223-9170,2226-7220,AOSIS,101623460,v.7;2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3215/
Annals of Hepato-Biliary-Pancreatic Surgery,Ann Hepatobiliary Pancreat Surg,2508-5778,2508-5859,Korean Association of Hepato-Biliary-Pancreatic Surgery,101698342,v.22(1);Feb 2018,v.20;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3151/
Annals of Work Exposures and Health,Ann Work Expo Health,2398-7308,2398-7316,Oxford University Press,101698454,"v.61(4);May 1, 2017",v.61;2017,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Ann+Work+Expo+Health%22%5Bjournal%5D
Archives of Craniofacial Surgery,Arch Craniofac Surg,2287-1152,2287-5603,Korean Cleft Palate-Craniofacial Association,101588280,v.18(4);Dec 2017,v.15;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3257/
Archives of Medical Sciences. Atherosclerotic Diseases,Arch Med Sci Atheroscler Dis,,2451-0629,Termedia Publishing,101701205,v.2;2017,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3192/
Archives of Physiotherapy,Arch Physiother,,2057-0082,BioMed Central,101688712,v.8;2018,v.5;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3364/
