issn,journal 
0390-7252,http://www.wikidata.org/entity/Q75248 
1368-2822,http://www.wikidata.org/entity/Q80802 
1460-6984,http://www.wikidata.org/entity/Q80802 
0390-1076,http://www.wikidata.org/entity/Q85329 
0169-7439,http://www.wikidata.org/entity/Q113337 
0925-5281,http://www.wikidata.org/entity/Q113337 
1381-141X,http://www.wikidata.org/entity/Q113337 
1873-3239,http://www.wikidata.org/entity/Q113337 
0373-5346,http://www.wikidata.org/entity/Q119172 
0005-8580,http://www.wikidata.org/entity/Q127815 
1089-7089,http://www.wikidata.org/entity/Q127815 
1538-7305,http://www.wikidata.org/entity/Q127815 
1617-5336,http://www.wikidata.org/entity/Q128874 
1536-1233,http://www.wikidata.org/entity/Q129122 
1558-0660,http://www.wikidata.org/entity/Q129122 
0038-7452,http://www.wikidata.org/entity/Q131478 
0305-1048,http://www.wikidata.org/entity/Q135122 
1362-4962,http://www.wikidata.org/entity/Q135122 
1434-4688,http://www.wikidata.org/entity/Q136044 
0032-3500,http://www.wikidata.org/entity/Q142095 
1161-5435,http://www.wikidata.org/entity/Q142348 
0165-5515,http://www.wikidata.org/entity/Q152047 
0026-1270,http://www.wikidata.org/entity/Q152086 
1570-7873,http://www.wikidata.org/entity/Q152050 
1572-9184,http://www.wikidata.org/entity/Q152050 
1741-6485,http://www.wikidata.org/entity/Q152047 
0017-7873,http://www.wikidata.org/entity/Q154020 
0180-3840,http://www.wikidata.org/entity/Q158600 
1210-1494,http://www.wikidata.org/entity/Q159937 
0931-9085,http://www.wikidata.org/entity/Q161423 
0099-9660,http://www.wikidata.org/entity/Q164746 
0017-209X,http://www.wikidata.org/entity/Q174941 
1149-0292,http://www.wikidata.org/entity/Q186225 
0072-4254,http://www.wikidata.org/entity/Q186613 
0083-5587,http://www.wikidata.org/entity/Q186624 
0342-3107,http://www.wikidata.org/entity/Q186627 
0044-2852,http://www.wikidata.org/entity/Q186682 
0303-4534,http://www.wikidata.org/entity/Q186670 
0323-7982,http://www.wikidata.org/entity/Q186671 
0044-2925,http://www.wikidata.org/entity/Q186695 
0342-393X,http://www.wikidata.org/entity/Q186684 
0044-3360,http://www.wikidata.org/entity/Q186722 
0514-650X,http://www.wikidata.org/entity/Q186737 
1010-0652,http://www.wikidata.org/entity/Q186734 
0044-2364,http://www.wikidata.org/entity/Q186777 
1615-6404,http://www.wikidata.org/entity/Q186681 
2191-3412,http://www.wikidata.org/entity/Q186661 
0044-3492,http://www.wikidata.org/entity/Q186829 
1430-7820,http://www.wikidata.org/entity/Q186746 
0946-7165,http://www.wikidata.org/entity/Q186811 
0935-3585,http://www.wikidata.org/entity/Q186826 
1439-9660,http://www.wikidata.org/entity/Q189614 
1866-8429,http://www.wikidata.org/entity/Q189666 
0028-6362,http://www.wikidata.org/entity/Q192632 
0307-1235,http://www.wikidata.org/entity/Q192621 
0036-8075,http://www.wikidata.org/entity/Q192864 
0096-3771,http://www.wikidata.org/entity/Q192864 
1095-9203,http://www.wikidata.org/entity/Q192864 
