journal,issn
http://www.wikidata.org/entity/Q75248,0390-7252
http://www.wikidata.org/entity/Q80802,1368-2822
http://www.wikidata.org/entity/Q80802,1460-6984
http://www.wikidata.org/entity/Q85329,0390-1076
http://www.wikidata.org/entity/Q113337,0169-7439
http://www.wikidata.org/entity/Q113337,0925-5281
http://www.wikidata.org/entity/Q113337,1381-141X
http://www.wikidata.org/entity/Q113337,1873-3239
http://www.wikidata.org/entity/Q119172,0373-5346
http://www.wikidata.org/entity/Q127815,0005-8580
http://www.wikidata.org/entity/Q127815,1089-7089
http://www.wikidata.org/entity/Q127815,1538-7305
http://www.wikidata.org/entity/Q128874,1617-5336
http://www.wikidata.org/entity/Q129122,1536-1233
http://www.wikidata.org/entity/Q129122,1558-0660
http://www.wikidata.org/entity/Q131478,0038-7452
http://www.wikidata.org/entity/Q135122,0305-1048
http://www.wikidata.org/entity/Q135122,1362-4962
http://www.wikidata.org/entity/Q136044,1434-4688
http://www.wikidata.org/entity/Q142095,0032-3500
http://www.wikidata.org/entity/Q142348,1161-5435
http://www.wikidata.org/entity/Q152047,0165-5515
http://www.wikidata.org/entity/Q152086,0026-1270
http://www.wikidata.org/entity/Q152050,1570-7873
http://www.wikidata.org/entity/Q152050,1572-9184
http://www.wikidata.org/entity/Q152047,1741-6485
http://www.wikidata.org/entity/Q154020,0017-7873
http://www.wikidata.org/entity/Q158600,0180-3840
http://www.wikidata.org/entity/Q159937,1210-1494
http://www.wikidata.org/entity/Q161423,0931-9085
http://www.wikidata.org/entity/Q164746,0099-9660
http://www.wikidata.org/entity/Q174941,0017-209X
http://www.wikidata.org/entity/Q186225,1149-0292
http://www.wikidata.org/entity/Q186613,0072-4254
http://www.wikidata.org/entity/Q186624,0083-5587
http://www.wikidata.org/entity/Q186627,0342-3107
http://www.wikidata.org/entity/Q186682,0044-2852
http://www.wikidata.org/entity/Q186670,0303-4534
http://www.wikidata.org/entity/Q186671,0323-7982
http://www.wikidata.org/entity/Q186695,0044-2925
http://www.wikidata.org/entity/Q186684,0342-393X
http://www.wikidata.org/entity/Q186722,0044-3360
http://www.wikidata.org/entity/Q186737,0514-650X
http://www.wikidata.org/entity/Q186734,1010-0652
http://www.wikidata.org/entity/Q186777,0044-2364
http://www.wikidata.org/entity/Q186681,1615-6404
http://www.wikidata.org/entity/Q186661,2191-3412
http://www.wikidata.org/entity/Q186829,0044-3492
http://www.wikidata.org/entity/Q186746,1430-7820
http://www.wikidata.org/entity/Q186811,0946-7165
http://www.wikidata.org/entity/Q186826,0935-3585
http://www.wikidata.org/entity/Q189614,1439-9660
http://www.wikidata.org/entity/Q189666,1866-8429
http://www.wikidata.org/entity/Q192632,0028-6362
http://www.wikidata.org/entity/Q192621,0307-1235
http://www.wikidata.org/entity/Q192864,0036-8075
http://www.wikidata.org/entity/Q192864,0096-3771
http://www.wikidata.org/entity/Q192864,1095-9203
http://www.wikidata.org/entity/Q206709,0179-9606
http://www.wikidata.org/entity/Q208875,0307-2681
http://www.wikidata.org/entity/Q216047,0182-5852
http://www.wikidata.org/entity/Q217313,1661-2256
http://www.wikidata.org/entity/Q225076,0177-5367
